,SampleID,TM_BAM,ichorCNA
119,K0146,/mnt/BACKUP_NAS05/ECDTM_repository/align/76-K0146CT10T_M573-M773.deduplicated.bam,0.04973
120,K0147,/mnt/BACKUP_NAS05/ECDTM_repository/align/77-K0147CT10T_M574-M774.deduplicated.bam,0.03665
121,K0148,/mnt/BACKUP_NAS05/ECDTM_repository/align/78-K0148CT10T_M575-M775.deduplicated.bam,0.04854
122,K0149,/mnt/BACKUP_NAS05/ECDTM_repository/align/95-K0149CT11T_M576-M776.deduplicated.bam,0.08669
123,K0151,/mnt/BACKUP_NAS05/ECDTM_repository/align/97-K0151CT11T_M578-M778.deduplicated.bam,0.0
124,K0153,/mnt/BACKUP_NAS05/ECDTM_repository/align/99-K0153CT11T_M580-M780.deduplicated.bam,0.0
125,K0154,/mnt/BACKUP_NAS05/ECDTM_repository/align/100-K0154CT11T_M581-M781.deduplicated.bam,0.0
126,K0155,/mnt/BACKUP_NAS05/ECDTM_repository/align/101-K0155CT11T_M582-M782.deduplicated.bam,0.0
127,K0156,/mnt/BACKUP_NAS05/ECDTM_repository/align/46-K0156CT17T_M592-M792.deduplicated.bam,0.06642
128,K0157,/mnt/BACKUP_NAS05/ECDTM_repository/align/47-K0157CT17T_M593-M793.deduplicated.bam,0.06767
129,K0158,/mnt/BACKUP_NAS05/ECDTM_repository/align/133-K0158CT12T_M595-M795.deduplicated.bam,0.07294
130,K0159,/mnt/BACKUP_NAS05/ECDTM_repository/align/134-K0159CT12T_M596-M796.deduplicated.bam,0.06025
131,K0161,/mnt/BACKUP_NAS05/ECDTM_repository/align/136-K0161CT12T_M550-M750.deduplicated.bam,0.05774
132,K0162,/mnt/BACKUP_NAS05/ECDTM_repository/align/137-K0162CT12T_M551-M751.deduplicated.bam,0.09587
133,K0164,/mnt/BACKUP_NAS05/ECDTM_repository/align/17-K0164CT24T_M579-M779.deduplicated.bam,0.04256
134,K0165,/mnt/BACKUP_NAS05/ECDTM_repository/align/48-K0165CT17T_M596-M796.deduplicated.bam,0.1111
135,K0166,/mnt/BACKUP_NAS05/ECDTM_repository/align/138-K0166CT12T_M555-M755.deduplicated.bam,0.0
136,K0167,/mnt/BACKUP_NAS05/ECDTM_repository/align/139-K0167CT12T_M556-M756.deduplicated.bam,0.09771
137,K0168,/mnt/BACKUP_NAS05/ECDTM_repository/align/140-K0168CT12T_M581-M781.deduplicated.bam,0.06227
138,K0169,/mnt/BACKUP_NAS05/ECDTM_repository/align/141-K0169CT12T_M558-M758.deduplicated.bam,0.04558
139,K0170,/mnt/BACKUP_NAS05/ECDTM_repository/align/142-K0170CT12T_M582-M782.deduplicated.bam,0.06638
140,K0171,/mnt/BACKUP_NAS05/ECDTM_repository/align/9-K0171CT19T_M565-M765.deduplicated.bam,0.05244
141,K0172,/mnt/BACKUP_NAS05/ECDTM_repository/align/10-K0172CT19T_M566-M766.deduplicated.bam,0.03327
142,K0173,/mnt/BACKUP_NAS05/ECDTM_repository/align/159-K0173CT13T_M584-M784.deduplicated.bam,0.05136
143,K0174,/mnt/BACKUP_NAS05/ECDTM_repository/align/160-K0174CT13T_M563-M763.deduplicated.bam,0.06833
144,K0175,/mnt/BACKUP_NAS05/ECDTM_repository/align/33-K0175CT16T_M564-M764.deduplicated.bam,0.0
145,K0176,/mnt/BACKUP_NAS05/ECDTM_repository/align/161-K0176CT13T_M565-M765.deduplicated.bam,0.06333
146,K0177,/mnt/BACKUP_NAS05/ECDTM_repository/align/162-K0177CT13T_M566-M766.deduplicated.bam,0.05396
147,K0178,/mnt/BACKUP_NAS05/ECDTM_repository/align/11-K0178CT19T_M567-M767.deduplicated.bam,0.03764
148,K0179,/mnt/BACKUP_NAS05/ECDTM_repository/align/163-K0179CT13T_M568-M768.deduplicated.bam,0.05831
149,K0180,/mnt/BACKUP_NAS05/ECDTM_repository/align/164-K0180CT13T_M569-M769.deduplicated.bam,0.0626
150,K0181,/mnt/BACKUP_NAS05/ECDTM_repository/align/165-K0181CT13T_M570-M770.deduplicated.bam,0.07411
151,K0183,/mnt/BACKUP_NAS05/ECDTM_repository/align/167-K0183CT13T_M572-M772.deduplicated.bam,0.04529
152,K0184,/mnt/BACKUP_NAS05/ECDTM_repository/align/203-K0184CT14T_M577-M777.deduplicated.bam,0.0
153,K0185,/mnt/BACKUP_NAS05/ECDTM_repository/align/204-K0185CT14T_M578-M778.deduplicated.bam,0.0
154,K0186,/mnt/BACKUP_NAS05/ECDTM_repository/align/12-K0186CT19T_M568-M768.deduplicated.bam,0.0
155,K0187,/mnt/BACKUP_NAS05/ECDTM_repository/align/205-K0187CT14T_M580-M780.deduplicated.bam,0.0228
156,K0189,/mnt/BACKUP_NAS05/ECDTM_repository/align/10-K0189CT15T_M582-M782.deduplicated.bam,0.04517
157,K0190,/mnt/BACKUP_NAS05/ECDTM_repository/align/11-K0190CT15T_M583-M783.deduplicated.bam,0.03121
158,K0191,/mnt/BACKUP_NAS05/ECDTM_repository/align/12-K0191CT15T_M584-M784.deduplicated.bam,0.04184
159,K0193,/mnt/BACKUP_NAS05/ECDTM_repository/align/13-K0193CT15T_M586-M786.deduplicated.bam,0.06973
160,K0194,/mnt/BACKUP_NAS05/ECDTM_repository/align/34-K0194CT16T_M573-M773.deduplicated.bam,0.05692
161,K0195,/mnt/BACKUP_NAS05/ECDTM_repo/ecdtm_research/align/4-K0195CT26T_M574-M774.deduplicated.bam,0.06362
162,K0197,/mnt/BACKUP_NAS05/ECDTM_repository/align/36-K0197CT16T_M576-M776.deduplicated.bam,0.0467
163,K0198,/mnt/BACKUP_NAS05/ECDTM_repository/align/37-K0198CT16T_M577-M777.deduplicated.bam,0.08268
164,K0200,/mnt/BACKUP_NAS05/ECDTM_repository/align/39-K0200CT16T_M579-M779.deduplicated.bam,0.0
165,K0201,/mnt/BACKUP_NAS05/ECDTM_repository/align/40-K0201CT16T_M580-M780.deduplicated.bam,0.03518
166,K0203,/mnt/BACKUP_NAS05/ECDTM_repository/align/6-K0203CT26T_M552-M752.deduplicated.bam,0.05179
167,K0205,/mnt/BACKUP_NAS05/ECDTM_repository/align/40-K0205KR1CT55T_M552-M752.deduplicated.bam,0.05138
168,K0206,/mnt/BACKUP_NAS05/ECDTM_repository/align/39-K0206CT17T_M555-M755.deduplicated.bam,0.08939
169,K0207,/mnt/BACKUP_NAS05/ECDTM_repository/align/40-K0207CT17T_M556-M756.deduplicated.bam,0.07901
170,K0208,/mnt/BACKUP_NAS05/ECDTM_repository/align/41-K0208CT17T_M557-M757.deduplicated.bam,0.05616
171,K0211,/mnt/BACKUP_NAS05/ECDTM_repository/align/42-K0211CT17T_M560-M760.deduplicated.bam,0.04436
172,K0212,/mnt/BACKUP_NAS05/ECDTM_repository/align/14-K0212CT15T_M561-M761.deduplicated.bam,0.05237
173,K0213,/mnt/BACKUP_NAS05/ECDTM_repository/align/15-K0213CT15T_M562-M762.deduplicated.bam,0.04245
174,K0215,/mnt/BACKUP_NAS05/ECDTM_repository/align/8-K0215CT26T_M564-M764.deduplicated.bam,0.06605
175,K0219,/mnt/BACKUP_NAS05/ECDTM_repository/align/16-K0219CT15T_M568-M768.deduplicated.bam,0.03161
176,K0222,/mnt/BACKUP_NAS05/ECDTM_repository/align/47-K0222CT16T_M571-M771.deduplicated.bam,0.1765
177,K0224,/mnt/BACKUP_NAS05/ECDTM_repository/align/41-K0224CT16T_M581-M781.deduplicated.bam,0.08426
178,K0227,/mnt/BACKUP_NAS05/ECDTM_repository/align/42-K0227CT16T_M584-M784.deduplicated.bam,0.05222
179,K0228,/mnt/BACKUP_NAS05/ECDTM_repository/align/43-K0228CT16T_M585-M785.deduplicated.bam,0.0854
180,K0229,/mnt/BACKUP_NAS05/ECDTM_repository/align/9-K0229CT26T_M586-M786.deduplicated.bam,0.0
181,K0231,/mnt/BACKUP_NAS05/ECDTM_repository/align/44-K0231CT16T_M588-M788.deduplicated.bam,0.1029
182,K0233,/mnt/BACKUP_NAS05/ECDTM_repository/align/45-K0233CT16T_M590-M790.deduplicated.bam,0.0
183,K0234,/mnt/BACKUP_NAS05/ECDTM_repository/align/46-K0234CT16T_M591-M791.deduplicated.bam,0.0
184,K0244,/mnt/BACKUP_NAS05/ECDTM_repository/align/44-K0244CT17T_M569-M769.deduplicated.bam,0.06923
185,K0247,/mnt/BACKUP_NAS05/ECDTM_repository/align/1-K0247CT19T_M550-M750.deduplicated.bam,0.05295
186,K0248,/mnt/GS_NAS05/ECDTM_repo/31102023/align/2-K0248CT28T_M551-M751.deduplicated.bam,0.1009
187,K0250,/mnt/BACKUP_NAS05/ECDTM_repository/align/2-K0250CT19T_M553-M753.deduplicated.bam,0.03119
188,K0253,/mnt/BACKUP_NAS05/ECDTM_repository/align/3-K0253CT19T_M556-M756.deduplicated.bam,0.0559
189,K0257,/mnt/BACKUP_NAS05/ECDTM_repository/align/5-K0257CT19T_M560-M760.deduplicated.bam,0.07404
190,K0258,/mnt/BACKUP_NAS05/ECDTM_repository/align/6-K0258CT19T_M561-M761.deduplicated.bam,0.0
191,K0259,/mnt/BACKUP_NAS05/ECDTM_repository/align/7-K0259CT19T_M562-M762.deduplicated.bam,0.05474
192,K0260,/mnt/BACKUP_NAS05/ECDTM_repository/align/12-K0260CT26T_M563-M763.deduplicated.bam,0.06047
