,SampleID,group
118,K2GAAC39,Vi_request
119,K2GAAC42,Vi_request
120,K2GAAC43,Vi_request
121,K2GAAC45,Vi_request
122,K2GAAC46,Vi_request
123,K2GAAC47,Vi_request
124,K2GAAC50,Vi_request
125,K2GAAC65,Vi_request
126,K2GAAC66,Vi_request
127,K2GAAC71,Vi_request
128,K2GAAC90,Vi_request
129,K2GAAC95,Vi_request
130,K2GAAC99,Vi_request
131,K2GAAD06,Vi_request
132,K6AAAC13,Vi_request
133,K6AAAC20,Vi_request
134,K6CAAA30,Vi_request
135,K6DAAA19,Vi_request
136,K6GAAA81,Vi_request
137,K7GAAA05,Vi_request
138,KA11A11,Vi_request
139,KA13A11,Vi_request
140,KA14A11,Vi_request
141,KA15A11,Vi_request
142,KA16A11,Vi_request
143,KA17A11,Vi_request
144,KA19A11,Vi_request
145,KA21A11,Vi_request
146,KA25A11,Vi_request
147,KA26A11,Vi_request
148,KA33A11,Vi_request
149,KA41A11,Vi_request
150,KA44A11,Vi_request
151,KA49A11,Vi_request
152,KA51A11,Vi_request
153,KA52A11,Vi_request
154,KA53A11,Vi_request
155,KA54A11,Vi_request
156,KA56A11,Vi_request
157,KA58A11,Vi_request
158,KA64A11,Vi_request
159,KA65A11,Vi_request
160,KA70A11,Vi_request
161,KA71A11,Vi_request
162,KA72A11,Vi_request
163,KA73A11,Vi_request
164,KA79A11,Vi_request
165,KA80A11,Vi_request
166,KA81A11,Vi_request
167,KA82A11,Vi_request
168,KA87A11,Vi_request
169,KA90A11,Vi_request
170,KA91A11,Vi_request
171,KA92A11,Vi_request
172,KA96A11,Vi_request
173,KA98A11,Vi_request
174,KB01A11,Vi_request
175,KB03A11,Vi_request
176,KB06A11,Vi_request
177,KB08A11,Vi_request
178,KB10A11,Vi_request
179,KB11A11,Vi_request
180,KB12A11,Vi_request
181,KB13A11,Vi_request
182,KB14A11,Vi_request
183,KB15A11,Vi_request
184,KB17A11,Vi_request
185,KB18A11,Vi_request
186,KB19A11,Vi_request
187,KB20A11,Vi_request
188,KB22A11,Vi_request
189,KB23A11,Vi_request
190,KB24A11,Vi_request
191,KB28A11,Vi_request
192,KB29A11,Vi_request
193,KB30A11,Vi_request
194,KB32A11,Vi_request
195,KB33A11,Vi_request
196,KB35A11,Vi_request
197,KB36A11,Vi_request
198,KB37A11,Vi_request
199,KB38A11,Vi_request
200,KB39A11,Vi_request
201,KB40A11,Vi_request
202,KB41A11,Vi_request
203,KB42A11,Vi_request
204,KB45A11,Vi_request
205,KB47A11,Vi_request
206,KB48A11,Vi_request
207,KB50A11,Vi_request
208,KB51A11,Vi_request
209,KB52A11,Vi_request
210,KB53A11,Vi_request
211,KB54A11,Vi_request
212,KB57A11,Vi_request
213,KB60A11,Vi_request
214,KB61A11,Vi_request
215,KB63A11,Vi_request
216,KB66A11,Vi_request
217,KB67A11,Vi_request
218,KB70A11,Vi_request
219,KB73A11,Vi_request
220,KB74A11,Vi_request
